angle radius accuracy
4.4068 1.8333 102.8544
5.0847 1.8333 103.3794
5.7627 1.8333 103.9575
6.4407 1.8333 104.4159
7.1186 1.8333 104.5855
7.7966 1.8333 104.3376
8.4746 1.8333 103.5702
9.1525 1.8333 102.1814
9.8305 1.8333 100.0695
10.5085 1.8333 97.1305
11.1864 1.8333 93.3535
11.8644 1.8333 88.8235
12.5424 1.8333 83.6275
13.2203 1.8333 77.8526
13.8983 1.8333 71.5878
14.5763 1.8333 64.9361
15.2542 1.8333 58.0061
15.9322 1.8333 50.9062
16.6102 1.8333 43.7451
17.2881 1.8333 36.3813
17.9661 1.8333 28.5353
18.6441 1.8333 20.2795
19.3220 1.8333 11.9592
20.0000 1.8333 3.7472
-20.0000 1.9359 -1.5552
-19.3220 1.9359 7.0231
-18.6441 1.9359 15.6901
-17.9661 1.9359 24.3716
-17.2881 1.9359 32.9117
-16.6102 1.9359 41.0438
-15.9322 1.9359 48.6575
-15.2542 1.9359 55.7641
-14.5763 1.9359 62.7792
-13.8983 1.9359 69.6465
-13.2203 1.9359 76.2435
-12.5424 1.9359 82.4364
-11.8644 1.9359 88.0179
-11.1864 1.9359 92.8852
-10.5085 1.9359 96.9614
-9.8305 1.9359 100.1703
-9.1525 1.9359 102.4918
-8.4746 1.9359 104.0143
-7.7966 1.9359 104.8384
-7.1186 1.9359 105.0652
-6.4407 1.9359 104.9235
-5.7627 1.9359 104.6632
-5.0847 1.9359 104.4656
-4.4068 1.9359 104.5119
-3.7288 1.9359 104.4061
-3.0508 1.9359 103.6084
-2.3729 1.9359 102.3526
-1.6949 1.9359 100.9948
-1.0169 1.9359 100.0375
-0.3390 1.9359 99.6115
0.3390 1.9359 99.8039
1.0169 1.9359 100.4827
1.6949 1.9359 101.4764
2.3729 1.9359 102.6110
3.0508 1.9359 103.4887
3.7288 1.9359 103.9267
4.4068 1.9359 103.8457
5.0847 1.9359 103.7369
5.7627 1.9359 103.8916
6.4407 1.9359 104.1369
7.1186 1.9359 104.3003
7.7966 1.9359 104.1387
8.4746 1.9359 103.4239
9.1525 1.9359 102.0534
9.8305 1.9359 99.9255
10.5085 1.9359 96.9364
11.1864 1.9359 93.0759
11.8644 1.9359 88.4289
12.5424 1.9359 83.0824
13.2203 1.9359 77.1504
13.8983 1.9359 70.8433
14.5763 1.9359 64.2822
15.2542 1.9359 57.5756
15.9322 1.9359 50.7793
16.6102 1.9359 43.5504
17.2881 1.9359 35.8348
17.9661 1.9359 27.6733
18.6441 1.9359 19.2934
